groupe,n,conv_turns_median,conv_turns_mean,pct_multi_turn,output_tokens_median,output_tokens_mean
avec vote,148844,1.0,1.3438835290639866,0.1817070221171159,1543.0,2037.6893862030045
sans vote,332265,1.0,1.353109716641837,0.2048816456743864,1114.0,1886.7252434051134
