qualificatif,n_paires,base_rate_a,accord_brut,kappa,interpretation
creative,31868,0.06131542613279779,0.9061440943893561,0.19675664156572292,quasi nul
useful,31868,0.24466549516756622,0.7416530689092506,0.3031706149741946,faible
complete,31868,0.17145726120246016,0.751757248650684,0.131629559994755,quasi nul
